,state,county,city,facility_name,address,lat,lon,hash
0,DE,DOVER,,CADIA HEALTHCARE CAPITOL IN DOVER,"1225 Walker Rd, Dover, DE 19904, USA",39.1688092,-75.5550538,4094289106453151634
1,DE,DOVER,,WESTMINSTER VILLAGE IN DOVER,"191 Westminster Dr, Dover, DE 19904, USA",39.1763114,-75.551979,-8579809539668441491
2,DE,DOVER,,DOVER PLACE IN DOVER,"1203 Walker Rd, Dover, DE 19904, USA",39.169445,-75.5532249,3408135292844570883
3,DE,LEWES,,THE MOORINGS AT LEWES IN LEWES,"17028 Cadbury Cir, Lewes, DE 19958, USA",38.7557439,-75.1410085,-1232741535459860924
4,DE,LEWES,,HARBOR HEALTHCARE AND REHABILITATION CENTER IN LEWES,"301 Ocean View Blvd, Lewes, DE 19958, USA",38.772765,-75.155132,-4873482638200181392
5,DE,DELMAR,,DELMAR NURSING AND REHABILITATION CENTER IN DELMAR,"101 Delaware Ave, Delmar, DE 19940, USA",38.4591699,-75.575797,-7999766953680326066
6,DE,NEWARK,,CHURCHMAN VILLAGE IN NEWARK,"4949 Ogletown Stanton Rd, Newark, DE 19713, USA",39.697125,-75.661357,884396710132439448
7,DE,NEWARK,,SOMERFORD PLACE IN NEWARK,"4175 Ogletown Stanton Rd, Newark, DE 19713, USA",39.6829872,-75.68138119999999,-5491668023404369399
8,DE,SMYRNA,,PINNACLE REHABILITATION AND HEALTH CENTER IN SMYRNA,"3034 S Dupont Blvd, Smyrna, DE 19977, USA",39.2619547,-75.5887535,3371526949484055884
9,DE,SEAFORD,,WILLOWBROOKE COURT SKILLED CENTER AT MANOR HOUSE IN SEAFORD,"1001 Middleford Rd, Seaford, DE 19973, USA",38.64201600000001,-75.6008035,-7577776095314532690
10,DE,SEAFORD,,SEAFORD CENTER NURSING HOME IN SEAFORD,"1100 Norman Eskridge Hwy, Seaford, DE 19973, USA",38.6537083,-75.59893919999999,-6140566432812308638
11,DE,SEAFORD,,LOFLAND PARK IN SEAFORD,"715 E King St, Seaford, DE 19973, USA",38.6430334,-75.60697019999999,2830009823316978021
12,DE,HOCKESSIN,,WILLOWBROOKE COURT AT COKESBURY VILLAGE IN HOCKESSIN,"726 Loveville Rd, Hockessin, DE 19707, USA",39.7736846,-75.6627755,8146354214862874135
13,DE,HOCKESSIN,,REGAL HEIGHTS HEALTHCARE AND REHABILITATION CENTER IN HOCKESSIN,"6525 Lancaster Pike, Hockessin, DE 19707, USA",39.7666481,-75.65389569999999,2806933681939915677
14,DE,HOCKESSIN,,OAK BRIDGE TERRACE AT COKESBURY VILLAGE IN HOCKESSIN,"726 Loveville Rd, Hockessin, DE 19707, USA",39.7736846,-75.6627755,1338849978776155331
15,DE,HOCKESSIN,,BRACKENVILLE CENTER IN HOCKESSIN,"100 St Claire Dr, Hockessin, DE 19707, USA",39.7676019,-75.7031986,-6392884070883791878
16,DE,MILLSBORO,,CADIA HEALTHCARE RENAISSANCE IN MILLSBORO,"26002 John J Williams Hwy, Millsboro, DE 19966, USA",38.6306646,-75.1969435,312861465853559640
17,DE,MILLSBORO,,ATLANTIC SHORES REHABILITATION & HEALTH CENTER IN MILLSBORO,"231 Washington St, Millsboro, DE 19966, USA",38.5863382,-75.2948359,2211886361308241474
18,DE,MIDDLETOWN,,CADIA HEALTHCARE BROADMEADOW IN MIDDLETOWN,"500 S Broad St, Middletown, DE 19709, USA",39.4439808,-75.7179775,5509862511190487385
19,DE,WILMINGTON,,FOULK MANOR SOUTH IN WILMINGTON,"407 Foulk Rd, Wilmington, DE 19803, USA",39.7840129,-75.54013429999999,1624505382306117329
20,DE,WILMINGTON,,MANORCARE HEALTH SERVICES IN WILMINGTON,"700 Foulk Rd, Wilmington, DE 19803, USA",39.7865628,-75.53444809999999,1533395763671488247
21,DE,WILMINGTON,,HILLSIDE CENTER IN WILMINGTON,"810 S Broom St, Wilmington, DE 19805, USA",39.7376789,-75.5700494,6795922028559681988
22,DE,WILMINGTON,,SHIPLEY MANOR IN WILMINGTON,"2723 Shipley Rd, Wilmington, DE 19810, USA",39.815962,-75.533781,1895453507404443597
23,DE,WILMINGTON,,REGENCY HEALTHCARE AND REHABILITATION CENTER IN WILMINGTON,"801 N Broom St, Wilmington, DE 19806, USA",39.749635,-75.564114,8344166629985360969
24,DE,WILMINGTON,,CADIA HEALTHCARE SILVERSIDE IN WILMINGTON,"3322 Silverside Rd, Wilmington, DE 19810, USA",39.8074854,-75.5397249,65296820326758794
25,DE,WILMINGTON,,CADIA HEALTHCARE PIKE CREEK IN WILMINGTON,"3540 Three Little Bakers Blvd, Wilmington, DE 19808, USA",39.7353155,-75.6981672,-8553159120016644584
26,DE,WILMINGTON,,KUTZ SENIOR LIVING IN WILMINGTON,"1221 Lodge Ln, Wilmington, DE 19809, USA",39.76221839999999,-75.49353789999999,-4031139780705114230
27,DE,GENESIS HEALTHCARE,,SILVER LAKE CENTER,"1080 Silver Lake Blvd, Dover, DE 19904, USA",39.178972,-75.538601,-7918488041860135359
28,FL,PINELLAS,,ARDEN COURTS OF SEMINOLE,"9300 Antilles Dr, Seminole, FL 33776, USA",27.8575446,-82.8289751,-8910093408055176010
29,FL,MIAMI-DADE,,"SUNRISE COMMUNITY, INC. - 3210 SW 138TH COURT","3210 SW 138th Ct, Miami, FL 33175, USA",25.7409721,-80.41961549999999,1885639529335245845
30,FL,MIAMI-DADE,,MIAMI SHORES NURSING AND REHAB CENTER,"9380 NW 7th Ave, Miami, FL 33150, USA",25.860665,-80.21020399999999,-5112881646242972827
31,FL,HILLSBOROUGH,,CONSUELOS ALF,"4815 Centerbrook Ct, Tampa, FL 33624, USA",28.1120616,-82.5295842,-7311154676491737049
32,FL,PINELLAS,,LAKESIDE MANOR LLC,"676 Union St, Dunedin, FL 34698, USA",27.9975859,-82.7807009,-491823905872065442
33,FL,MIAMI-DADE,,JESUS HOME CARE INC,"3401 SW 72nd Ct, Miami, FL 33155, USA",25.738385,-80.31334,-2272412776640675855
