Date Collected,State ,County,City,Facility Name,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment,last_recorded
20200521,AR,,,Briarwood Nursing Center,Uncategorized LTCF,Nursing Home,Federal,,45387,,,,,43,,5,,17,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Villages of General Baptist-West,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,The Lakes of Maumelle H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,40,,8,,11,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Apple Creek H&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Springhouse Village-,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Waters of White Hall,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,42,,13,,34,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Greene Acres NH,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Newton Co NH,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Walnut Ridge N&R,Uncategorized LTCF,Uncategorized LTCF,State,,,,,,,54,,4,,25,,,,,,,,,,,,,,,,,,,,,,,20200521
20200521,AR,,,Willow Bend Healthcare & Rehab,Uncategorized LTCF,Nursing Home,Federal,,45412,,,,,30,,4,,17,,,,,,,,,,,,,,,,,,,,,,,20200521
